Course Code,Course Name,Course Description,Pre-Requisites,Credit Points,Semester(s),Max no. of students
COSC2801,Programming Bootcamp 1,"This course covers algorithmic development using standard control structures, fundamental concepts of programming and creation of small to medium practical applications. In this course you will learn the basic skills of program development by working on the production of small amounts of software. This will include skills in testing and debugging programs, and in the use of appropriate software technologies.",NULL,12,"S1,S2",250
MATH2411,Mathematics for Computing 1,"Discrete structures include topics such as set theory, logic, and graph theory. The material in discrete structures is pervasive in the areas of data structures and algorithms but appears elsewhere in Computer Science as well.",NULL,12,S1,250
COSC2803,Programming Studio 1,The studio-based approach provides an authentic problem setting. Theory and practice are blended in the application of learning centred on development of e.g. game or web applications.,COSC2801,24,"S1,S2",200
COSC2802,Programming Bootcamp 2,This course covers advanced algorithms and data structures. This course serves as a pre-requisite for more specialized courses that require programming.,COSC2801,12,S2,250
MATH2412,Mathematics for Computing 2,Students will learn basic statistical modelling techniques including linear regression and logistic regression. There will be an emphasis on conceptual understanding and the use of Python programming language within a Jupyter Notebook environment for analytical computation.,NULL,12,S2,250
COSC2804,Programming Studio 2,"In this course you will develop programming principles, skills and practices for modern software development, continuing the study of design, development and testing from previous courses. These learning outcomes will be achieved by developing a medium-sized real world application.",COSC2802,24,"S1,S2",200
ISYS1118,Software Engineering Fundamentals,"This course is designed to provide you opportunity to gain knowledge and skills necessary to analyse, design and implement complex software engineering projects. You will also consider qualitative aspects including maintainability, extensibility, reusability and robustness in every stage of the software-engineering life-cycle.","COSC2803, COSC1073",12,"S1,S2",250
OENG1235,Innovation Ecosystem and the Future of Work,"This course will broaden and strengthen your innovation effectiveness. You will discover how technology, society, governments, and global trends drive change in the future of work over the span of your career.",NULL,12,S2,250
COSC2123,Algorithms and Analysis,"You will study a broad variety of important and useful algorithms and data structures in different areas of applications, and will concentrate on fundamental algorithms. You will spend a significant time on each algorithm to understand its essential characteristics and to respect its subtleties.","COSC2802,COSC2391",12,S2,250
COSC2408,Programming Project 1,You will work in teams and complete projects from inception to implementation. This course includes a work integrated learning (WIL) experience in which your knowledge and skills will be applied and assessed in a real or simulated workplace context.,COSC2299,12,"S1,S2",200
ONPS2702,STEM for Sustainable Development ,"This course provides students with an introduction, understanding and appreciation of sustainability as applied in contemporary Health and Science, Technology, Engineering and Mathematics (STEM). Sharing and communication of diverse viewpoints and expertise from across the STEM and health disciplines will be facilitated to enable collaborative action to address real world sustainability problems. ",NULL,12,"S1,S2",250
BIOL2525,Cyber-Physical-Biological System Technology for Digital World,"This course introduces you to cyber-physical-biological systems (CPBS). CPBS consists of the computation, physical, and biological components of cyber-physical-biological systems to build a better world. Using person-centred designs, the Internet of Things (IoT) can be applied to the physical and biological world in real-time and simulated environments across different industries. Innovations such as sensors, wearables, artificial intelligence, analytics, robotics, digital twins, and cybersecurity enable data-rich environments to support evidence-informed decision-making processes for business transformation and shaping the digital world.",NULL,12,"S1,S2",200
COSC2299,Software Engineering : Process and Tools,"This course aims to develop your knowledge of the processes and associated tools required to service the software development life cycle. Phases of the software engineering life cycle include specialised processes and tools to ensure that real-world projects, both large and small, are delivered in a quality manner under financial constraints using processes and tools.","ISYS1118,COSC2802,COSC2391",12,S2,200
COSC1127,Artificial Intelligence ,This course introduces you to the basic concepts and techniques of Artificial Intelligence (AI). AI is the sub-area of computer science devoted to creating software and hardware to get computers to do things that would be considered ‘intelligent’ as if people did them. This course will allow you to gain generic problem solving skills that have applicability to a wide range of real-world problems.,COSC2123,12,S2,250
COSC2673,Machine Learning,"Students will learn how to apply Machine Learning techniques to a range of problems, using open source Machine Learning toolkits, and learn how to analyse outputs from the applications. Students will perform assignments that involve a variety of real world datasets from a variety of domains.","MATH2411, COSC2802,COSC2391,COSC2815",12,S1,250
COSC2815,Advanced Programming for Data Science,"Advanced programming concepts and techniques for the purposes of data processing (e.g., data parsing, cleansing, integration, etc.) will be taught, enabling more complex data pre-processing and getting data ready for down-stream analysis. These include, for example, the handling of data stored in different formats (e.g., CSV, JSON, XML,), the handling of bad and missing data, and the integration of data from different sources. ",COSC2802,12,S2,100
COSC2960,Foundations of Artificial Intelligence for STEM,This course introduces the foundations of Artificial Intelligence (AI) which is a branch of computer science devoted to developing intelligent hardware and software systems. This course will also challenge you to consider the impact and ethics of AI on your future profession and society.,NULL,12,"S1,S2",100
COSC2391,Further Programming,This course provides students with an advanced understanding of Object-Oriented software development with an emphasis on architecture and design and how this relates to programming and implementation. This course builds upon existing programming knowledge using Java as the implementation platform and assumes students already have a basic understanding of Java programming and basic OO concepts.,COSC1073,12,"S1,S2",100
COSC2973,Intelligent Decision Making,"This course covers the foundations and practical aspects in the area of Artificial Intelligence for building systems that are able to make intelligent decisions in knowledge-intensive settings.The course covers both theoretical and practical aspects, including building concrete systems with state-of-the-art tools. Being a course in a rapidly advanced area of active research, the particular approaches and systems covered may vary on each course edition.",COSC1127,12,"S1,S2",100
COSC2738,Practical Data Science,"The course gives you a set of practical skills for handling data that comes in a variety of formats and sizes, such as texts, spatial and time series data. These skills cover the data analysis lifecycle from initial access and acquisition, modeling, transformation, integration, querying, application of statistical learning and data mining methods, and presentation of results, using Python. ",NULL,12,"S1,S2",100
COSC1073,Programming 1,This course introduces Object-Oriented programming using the Java programming language. This course covers: algorithm development using standard control structures; design methods such as step-wise refinement and object oriented programming; the use of standard Java classes and interfaces; the use of standard APIs; I/O processing; and programming style and code reuse.,NULL,12,"S1,S2",100
COSC2628,User-Centered Design,"User-centred design is a design methodology that focuses on the needs of end users, limitations of end users, preferences of end users, and business objectives. You will learn what characteristics of a user interface can make it easy or hard for people to use, and how to design user interfaces that take into account human capabilities and constraints.",NULL,12,"S1,S2",100
COSC2276,Web Development Technology,"This course introduces you to the principles and practice of developing applications using C# programming language. Topics include the C# programming language, ASP.NET, REST API and security.",COSC2391,12,S1,100
COSC2413,Web Programming,"The course introduces you to the basic concepts of the World Wide Web, and the principles and tools that are used to develop Web applications. The course will provide an overview of Internet technology and will introduce you to current Web protocols, client side and server side programming, communication and design.",NULL,12,S1,100
COSC3044,Web Programming Bootcamp,"This course is a technical introduction to web programming techniques, introducing you to the essential concepts of the World Wide Web, and key principles and tools that are used to develop Web applications. The course will provide an overview of Internet technology and introduce you to current Web protocols, client- and server-side programming, communication and design.","COSC2801,COSC2803",12,S1,100
COSC1107,Computing Theory,"Computing Theory introduces you to fundamental theories of computing to computing problems. Topics include the study of formal models of computation and computability properties, measuring time requirements for a computation approaches to difficult problems, the use of grammars to specify syntax rules.","COSC2123,MATH2411",12,S2,100
COSC1076,Advanced Programming Techniques,"This course teaches programming principles, skills and practices for modern software development using the C++ programming language. Concepts in this include dynamic memory management, advanced typing and polymorphism, automated build systems, defensive programming, debugging, testing, and adherence to modern coding standards and practices.","COSC2801,COSC1073",12,S1,100
